# NGE V1.26 — archetype roster (design: NGE_V1.26_WEB_DESIGN.md §4)
# weight: base selection weight; whale_mult: multiplier applied per purchase-count
# decile above the 5th (die-hards skew essayist/superfan/collector/technerd/troll).
# rating_bias: added to the reception-model score before clamping to 1-5.
# sent_min/max: sentences per review. typo_rate/caps_rate: 0-1 quirk dials.
# title_rate: probability the review has a title. comment_mult: comment-writing
# propensity multiplier. era_from/era_to: account activity window ('-' = open).
archetype	weight	whale_mult	era_from	era_to	rating_bias	sent_min	sent_max	typo_rate	caps_rate	title_rate	comment_mult	notes
essayist	0.07	1.6	2005	2016	0.0	6	22	0.004	0.00	0.95	1.2	the off-row LOB tail; paragraphs, "In conclusion"
capslock	0.12	0.8	2005	2016	1.0	2	6	0.12	0.85	0.40	1.5	young + loud 2005-2011; phrase eras age the voice into nostalgia post-2012
grouch	0.10	1.3	2005	2016	-1.0	4	10	0.008	0.02	0.85	1.4	finds the flaw; earns helpful votes
parent	0.11	0.5	2005	2016	0.5	3	8	0.015	0.01	0.80	0.6	"bought for my son"; December spike
technerd	0.08	1.7	2005	2016	0.0	5	14	0.002	0.03	0.90	1.0	framerates, cables, methodology; owns hardware reviews
driveby	0.18	0.4	2005	2016	0.0	1	2	0.10	0.15	0.10	0.2	"good." — ~18% of volume, near-zero votes
collector	0.08	1.8	2005	2016	0.5	4	10	0.005	0.00	0.90	0.9	condition-obsessed; buys used; grading rants
superfan	0.10	1.9	2005	2016	1.5	3	9	0.03	0.30	0.70	1.8	franchise devotion; midnight launches; thread instigator
bucks_victim	0.04	1.0	2015	2016	-2.0	3	8	0.02	0.20	0.85	1.1	anomaly A3 carrier; refund rage
dealhunter	0.09	0.9	2005	2016	0.5	2	6	0.012	0.02	0.60	0.7	price-anchored; quotes exact paid prices
troll	0.03	2.2	2006	2016	0.0	2	7	0.015	0.10	0.90	3.0	inverted ratings (engine flips reception score); farms funny+unhelpful; ~40% of banned accounts
