release_id	title	platform	first_release_date	reception_score	lifetime_units	publisher	developer	genre	media_type	release_jp	release_na	release_eu	release_br	first_release_raw	source_url	notes
1	Breakout	Apple II	1977-01-01	65.0		Apple Computer	Steve Wozniak		Floppy Disk					1977	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Arcade game, Precursor to Little Brick Out
2	Starlanes	Apple II	1977-01-01	65.0					Floppy Disk					1977	https://en.wikipedia.org/wiki/List_of_Apple_II_games	Interstellar shipping company stock trading game.
3	Combat	Atari 2600	1977-08-01	65.0			Larry Wagner, Joe Decuir		Cartridge					August 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
4	Air-Sea Battle	Atari 2600	1977-09-01	65.0		Atari	Larry Kaplan	action game	Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games.
5	Basic Math a.k.a. Fun with Numbers	Atari 2600	1977-09-01	65.0			Gary Palmer		Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
6	Blackjack	Atari 2600	1977-09-01	65.0			Bob Whitehead		Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games.
7	Indy 500	Atari 2600	1977-09-01	65.0			Ed Riddle		Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
8	Star Ship	Atari 2600	1977-09-01	65.0		Atari, Inc.	Bob Whitehead	shoot 'em up	Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
9	Street Racer	Atari 2600	1977-09-01	65.0			Larry Kaplan		Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
10	Surround	Atari 2600	1977-09-01	65.0			Alan Miller		Cartridge					September 1977	https://en.wikipedia.org/wiki/List_of_Atari_2600_games	One of the nine Atari 2600 launch games
