release_id	corrected_date	source	old_date
55	1979-06-01	wikidata:Q55623053	1979-01-01
99	1980-12-01	wikidata:Q88649	1980-01-01
100	1980-05-05	wikidata:Q1751498	1980-01-01
220	1981-09-01	wikidata:Q1886140	1981-01-01
280	1982-05-01	wikidata:Q1076255	1982-01-01
281	1982-05-01	wikidata:Q1076255	1982-01-01
294	1982-03-11	wikidata:Q1180916	1982-01-01
295	1982-03-11	wikidata:Q1180916	1982-01-01
306	1982-05-21	wikidata:Q5305362	1982-01-01
345	1982-10-01	wikidata:Q1800074	1982-01-01
417	1982-09-01	wikidata:Q1419773	1982-01-01
448	1982-02-01	wikidata:Q4053202	1982-01-01
615	1983-03-29	wikidata:Q30694052	1983-01-01
617	1983-08-01	wikidata:Q48560650	1983-01-01
618	1983-08-01	wikidata:Q48560650	1983-01-01
679	1983-03-01	wikidata:Q923826	1983-01-01
747	1983-02-25	regional:jp	1983-01-01
748	1983-02-25	regional:jp	1983-01-01
749	1983-02-25	regional:jp	1983-01-01
750	1983-02-25	regional:jp	1983-01-01
751	1983-02-25	regional:jp	1983-01-01
797	1983-04-01	wikidata:Q25395036	1983-01-01
798	1983-04-01	wikidata:Q25395036	1983-01-01
806	1983-07-15	wikidata:Q12384	1983-01-01
807	1983-07-15	regional:jp	1983-01-01
808	1983-07-15	regional:jp	1983-01-01
828	1983-08-10	wikidata:Q5375394	1983-01-01
924	1983-09-16	wikidata:Q13476157	1983-01-01
963	1983-06-01	wikidata:Q1800074	1983-01-01
974	1983-06-23	wikidata:Q1197566	1983-01-01
975	1983-06-23	wikidata:Q1197566	1983-01-01
976	1983-06-23	wikidata:Q1197566	1983-01-01
1043	1983-02-01	wikidata:Q109358272	1983-01-01
1107	1983-12-31	wikidata:Q2095418	1983-01-01
1116	1983-07-08	wikidata:Q2098196	1983-01-01
1207	1983-12-31	wikidata:Q7540179	1983-01-01
1217	1983-12-31	wikidata:Q2299128	1983-01-01
1245	1983-12-31	wikidata:Q3496992	1983-01-01
