# NGE V1.26 — English comment bank (design §4, comments engine)
# kind: the conversational move. parent_sent: sentiment of the PARENT REVIEW
# (pos/neg/mixed/any). The engine chains moves so threads read as arguments:
# hot threads alternate defend/dunk; troll bait raises reply probability 5x.
# Micro-slots as in phrases_en.tsv; {parent_user} = the review's username,
# {prev_user} = previous commenter (engine-filled).
kind	archetype	parent_sent	era_from	era_to	text
agree	any	pos	2008	2016	This. Exactly this.
agree	any	pos	2008	2016	Came here to say the same, saved me typing it. Good review.
agree	any	pos	2008	2016	Can confirm, same experience down to the load times.
agree	superfan	pos	2008	2016	The only review on this page written by someone who actually finished it.
agree	any	neg	2008	2016	Glad it's not just me. Thought my copy was faulty.
agree	grouch	neg	2008	2016	Correct on every count, and I say that rarely.
disagree	any	pos	2008	2016	Wildly generous. Did we play the same game?
disagree	any	neg	2008	2016	Harsh. It has problems but nothing five patches won't fix.
disagree	superfan	neg	2008	2016	Skill issue, respectfully. It clicks around hour three, you quit at two.
disagree	technerd	any	2008	2016	Your numbers are off — it's the display chain, not the game. Happy to explain.
disagree	grouch	pos	2008	2016	Everyone said the same about the last one and we all know how that aged.
question	any	any	2008	2016	Does anyone know if the {platform} version has the same issue?
question	parent	any	2008	2016	Sorry to piggyback — is this suitable for a 9 year old? The box says yes but boxes lie.
question	any	any	2008	2016	Is the used copy worth it or do the save batteries die on these?
question	dealhunter	any	2008	2016	Anyone seen it cheaper than {price}? Asking for me.
answer	any	any	2008	2016	@{prev_user} yes, but only after the patch. Before that, avoid.
answer	technerd	any	2008	2016	@{prev_user} tested this last month — short answer yes, long answer in my profile.
answer	parent	any	2008	2016	@{prev_user} we have a 9 year old and it was fine, just turn the chat off.
anecdote	any	any	2008	2016	The {city} store had a queue round the corner for this one. Different times.
anecdote	any	any	2008	2013	Staff at my local put one aside for me without being asked. That's why I keep going back.
anecdote	collector	any	2008	2016	Found a sealed copy in the used bin priced as loose once. Still my greatest victory.
dunk	any	any	2008	2016	That one word is doing a lot of heavy lifting in this review.
dunk	troll	pos	2008	2016	Imagine writing six paragraphs about a {genre} game. Touch grass. (Good review though.)
