racing video game	Racing	0
platform game	Platformer	0
action-adventure game	Action-Adventure	0
action game	Action	0
role-playing video game	Role-Playing	0
puzzle video game	Puzzle	0
Action	Action	0
sports video game	Sports	0
shoot 'em up	Shoot 'em up	0
Sports	Sports	0
adventure video game	Adventure	0
fighting game	Fighting	0
first-person shooter	First-Person Shooter	0
Adventure	Adventure	0
Action-adventure	Action-Adventure	0
Platform	Platformer	0
Racing	Racing	0
Puzzle	Puzzle	0
Role-playing	Role-Playing	0
association football video game	Sports	0
Visual novel	Visual Novel	0
American football video game	Sports	0
Action role-playing	Action RPG	0
Fighting	Fighting	0
action role-playing game	Action RPG	0
Shooter	Shooter	0
strategy video game	Strategy	0
First-person shooter	First-Person Shooter	0
basketball video game	Sports	0
third-person shooter	Third-Person Shooter	0
real-time strategy	Real-Time Strategy	0
music video game	Rhythm	0
beat 'em up	Beat 'em up	0
action film	Action	0
turn-based strategy video game	Turn-Based Strategy	0
Shoot 'em up	Shoot 'em up	0
Action & adventure	Action-Adventure	0
tactical role-playing game	Tactical RPG	0
Simulation	Simulation	0
simulation video game	Simulation	0
Platformer	Platformer	0
ice hockey video game	Sports	0
Otome game	Visual Novel	0
Metroidvania	Platformer	0
fantasy film		0
Survival horror	Horror	0
Arcade	Arcade	0
visual novel	Visual Novel	0
shooter game	Shooter	0
Strategy	Strategy	0
baseball video game	Sports	0
educational video game	Educational	0
life simulation game	Life Simulation	0
vehicular combat game	Vehicular Combat	0
combat flight simulator game	Flight & Space Sim	0
interactive fiction	Interactive Fiction	0
party video game	Party	0
flight simulation video game	Flight & Space Sim	0
Beat 'em up	Beat 'em up	0
Classics	Compilation	0
arcade	Arcade	0
Third-person shooter	Third-Person Shooter	0
maze video game	Arcade	0
children's television series		0
Tactical role-playing	Tactical RPG	0
hack and slash	Action RPG	0
comedy film		0
business simulation game	Management	0
Turn-based strategy	Turn-Based Strategy	0
boxing video game	Sports	0
science fiction film		0
survival horror	Horror	0
rhythm game	Rhythm	0
real-time tactics	Tactics	0
comedy anime and manga		0
crossover fiction		0
Rhythm	Rhythm	0
tennis video game	Sports	0
point-and-click adventure	Adventure	0
Educational	Educational	0
Puzzle & trivia	Puzzle	0
Music	Rhythm	0
comedy television series		0
professional wrestling video game	Sports	0
sim racing	Simulation	0
action anime and manga	Action	0
Action game	Action	0
science fiction		0
run and gun	Shoot 'em up	0
science fiction video game		0
Action & Adventure	Action-Adventure	0
Hack and slash	Action RPG	0
chess video game	Board Game	0
Party	Party	0
Graphic adventure	Adventure	0
science fiction television program		0
space flight simulation game	Flight & Space Sim	0
interactive film	Interactive Fiction	0
Horror	Horror	0
tactical shooter	First-Person Shooter	0
graphic adventure game	Adventure	0
fantasy		0
game show	Trivia	0
massively multiplayer online role-playing game	Role-Playing	0
Actionplatform	Platformer	0
Sport games	Sports	0
turn-based tactics	Tactics	0
3D fighting game	Fighting	0
buddy film		0
Vertical shooter	Shoot 'em up	0
construction and management simulation	Management	0
Real-time strategy	Real-Time Strategy	0
Card & board	Card Game	0
golf video game	Sports	0
Board games	Board Game	0
psychological horror fiction	Horror	0
school anime and manga		0
pinball machine game	Arcade	0
Variety		0
stealth game	Stealth	0
Rpg	Role-Playing	0
Puzzle-platform	Puzzle	0
Maze	Arcade	0
Interactive fiction	Interactive Fiction	0
Shoot-'em-up	Shoot 'em up	0
Pinball	Arcade	0
Action-platformer	Platformer	0
Puzzlehidden object	Puzzle	0
pinball video game	Arcade	0
Run and gun	Shoot 'em up	0
city-building game	Management	0
drama anime and manga		0
Tower defense	Strategy	0
Racing & flying	Racing	0
tokusatsu		0
RPG	Role-Playing	0
Kinect		0
Dungeon crawler	Action RPG	0
Point-and-click adventure	Adventure	0
Fixed shooter	Shoot 'em up	0
Roguelike	Roguelike	0
Platformpuzzle	Puzzle	0
dating sim	Visual Novel	0
Strategy & simulation	Strategy	0
Survival	Survival	0
Visual Novel	Visual Novel	0
romance anime and manga		0
Platform-adventure	Platformer	0
Sports & recreation	Sports	0
Action-adventurestealth	Stealth	0
horror film	Horror	0
skateboarding video game	Sports	0
Horizontal shooter	Shoot 'em up	0
musical film		0
association football management game	Management	0
eroge	Visual Novel	0
3D platform game	Platformer	0
action television series	Action	0
fantasy video game		0
Board game	Board Game	0
side-scrolling video game	Platformer	0
Breakout clone	Arcade	0
Partytrivia	Trivia	0
quiz show	Trivia	0
comics		0
horse racing video game	Racing	0
Stealth	Stealth	0
fishing video game	Sports	0
Vehicular combat	Vehicular Combat	0
adventure film	Adventure	0
Business simulation	Management	0
4X	Strategy	0
Fighting, Sports	Fighting	0
Rail shooter	Shooter	0
fantasy anime and manga		0
children's film		0
science fiction anime and manga		0
Hunting/fishing	Sports	0
fitness video game	Party	0
dance video game	Rhythm	0
Family & educational	Educational	0
Compilation	Compilation	0
neo-noir		0
vertically scrolling shooter	Shoot 'em up	0
Action-adventure, platformer	Platformer	0
Musicrhythm	Rhythm	0
roguelike	Roguelike	0
Scrolling shooter	Shoot 'em up	0
reality television		0
Adventurepuzzle	Puzzle	0
grand strategy wargame	Strategy	0
Adventure game	Adventure	0
light-gun shooter	Shooter	0
Adventure, puzzle	Puzzle	0
submarine simulator	Simulation	0
Top-down shooter	Shooter	0
puzzle-platformer	Puzzle	0
Block breaker	Arcade	0
2D platform game	Platformer	0
Actionpuzzle	Puzzle	0
adventure anime and manga	Adventure	0
Platform, puzzle	Puzzle	0
minigame	Party	0
Dating sim	Visual Novel	0
vehicle simulation game	Simulation	0
Sim racing	Simulation	0
Visual Novel/Adult	Visual Novel	0
falling block puzzle game	Puzzle	0
Application		0
Role playing	Role-Playing	0
Action RPG	Action RPG	0
Combat flight simulation game	Flight & Space Sim	0
Action-RPG	Action RPG	0
Turn-based tactics	Tactics	0
fairy tale		0
Text and Gfx	Interactive Fiction	0
space simulator	Flight & Space Sim	0
board video game	Board Game	0
Kart racing	Racing	0
Japanese role-playing	Role-Playing	0
hunting video game	Sports	0
fantasy television series		0
pool video game	Sports	0
multidirectional shooter	Shooter	0
collectible card video game	Card Game	0
military science fiction		0
drama film		0
harem		0
Obstacle avoiding	Arcade	0
traditional video game	Board Game	0
virtual pet video game	Life Simulation	0
bullet hell	Shoot 'em up	0
extreme sports video game	Sports	0
Racingsimulation	Simulation	0
rock music	Rhythm	0
Trivia	Trivia	0
Twin-stick shooter	Shooter	0
Massively multiplayer online role-playing	Role-Playing	0
young adult fiction		0
