# NGE V1.26 — English phrase bank, TRANCHE 1 (design §4 + Appendix B)
# Columns: slot / archetype / sentiment / era_from / era_to / text
# archetype 'any' = usable by all; sentiment 'any' = usable at any sentiment.
# Micro-slots filled by the ENGINE from real data:
#   {title} {platform} {genre} {publisher} {developer} {price} {city}
#   {n_years} {credit_amount} {year} {month_name} {condition_grade}
# Micro-slots resolved recursively from THIS bank (rows whose slot matches):
#   {praise_verb} {flaw_noun} {kid_word} {family_word} {staff_detail}
#   {expire_phrase} {store_word} {time_ago} {era_slang_pos} {era_slang_neg}
# Quirk noise (typos, caps, punctuation) is applied AFTER assembly per the
# archetype dials in archetypes.tsv — do not bake typos into fragments except
# where the voice demands it (capslock/driveby rows may carry them).
slot	archetype	sentiment	era_from	era_to	text
opener_long	essayist	any	2005	2016	I have been mulling this review over for a week, so bear with me.
opener_long	essayist	any	2005	2016	Let me preface this by saying I rarely write reviews, but {title} deserves a proper one.
opener_long	essayist	any	2005	2016	There are three things you should know before buying {title}, and none of them fit in one sentence.
opener_long	essayist	any	2005	2016	I finished {title} last night and I have been thinking about it ever since.
opener_long	essayist	any	2005	2016	This is going to be a long one, because {title} is not a game you can sum up in a line.
opener_disappointed	any	neg	2005	2016	I wanted to like this. I really did.
opener_disappointed	any	neg	2005	2016	It brings me no joy to write this review.
opener_disappointed	any	neg	2005	2016	I gave {title} every chance. Three separate evenings. It did not earn them.
opener_disappointed	any	neg	2005	2016	How do you get {genre} this wrong in {year}?
opener_disappointed	any	neg	2005	2016	Somewhere at {publisher} there is a meeting room where this seemed like a good idea.
context	essayist	any	2005	2016	For context, I have played every {genre} release worth mentioning since the SNES days.
context	essayist	any	2005	2016	I picked this up {time_ago} on the strength of the previews, going in almost blind.
context	essayist	any	2005	2016	My history with {developer} goes back a long way, which is exactly why my expectations were where they were.
context	essayist	any	2005	2016	I ordered this from the {city} store, and the copy arrived exactly as described.
context	essayist	any	2005	2016	A friend lent me the {other_platform} version first; I liked it enough to buy my own copy.	has_other_versions
experience	any	any	2005	2016	The first hour is slow, but it opens up considerably after that.
experience	any	any	2005	2016	I sat down for a quick look and lost the entire evening, which tells you most of what you need to know.
experience	any	any	2005	2016	It took me about a weekend to see everything the game wanted to show me.
experience	any	any	2005	2016	My save file says {n_years} hours and I am not proud of it. Actually, yes I am.
experience	any	any	2005	2016	I played through twice, once normally and once to test what I am about to complain about.
experience_loud	capslock	any	2005	2011	played it ALL WEEKEND. mom had to physically unplug the tv
experience_loud	capslock	any	2005	2011	me and my brother took turns until 3am on a SCHOOL NIGHT
experience_loud	capslock	any	2005	2011	beat it in two days. TWO DAYS. no sleep club
experience_loud	capslock	any	2012	2016	Played it all weekend like I was 14 again. No regrets.
experience_loud	capslock	any	2012	2016	Stayed up way too late with this one. Some habits survive your twenties.
praise_detail	any	pos	2005	2016	The {genre} mechanics are the tightest I have seen this generation.
praise_detail	any	pos	2005	2016	Visually it is comfortably the best thing on {platform} right now.
praise_detail	any	pos	2005	2016	The soundtrack alone is worth the asking price; I have had it on in the car.
praise_detail	any	pos	2005	2016	Whoever designed the difficulty curve deserves a raise — challenging without ever feeling cheap.
praise_detail	any	pos	2005	2016	It respects your time, which I am starting to realise is the rarest feature of all.
praise_detail	any	pos	2005	2016	{developer} clearly cared about this one. It shows in a hundred small touches.
praise_loud	capslock	pos	2005	2011	the graphics are INSANE. my friend thought it was a movie. A MOVIE
praise_loud	capslock	pos	2005	2011	best {genre} game EVER MADE and im not even exaggerating
praise_loud	capslock	pos	2005	2011	the bosses in this game?? absolutely LEGENDARY
praise_loud	capslock	pos	2012	2016	Honestly? Still the best {genre} game I've played since the old days.
praise_loud	superfan	pos	2005	2016	This is why {developer} is the greatest studio working today. Nobody else comes close.
praise_loud	superfan	pos	2005	2016	Every entry in this series raises the bar and this one cleared it with room to spare.
praise_grudging	grouch	any	2005	2016	Credit where due: the core of the game is solid.
praise_grudging	grouch	any	2005	2016	I will grudgingly admit the second half is genuinely good.
praise_grudging	grouch	any	2005	2016	Fine. The soundtrack is excellent. There, I said something nice.
minor_flaw	any	any	2005	2016	My only real complaint is the menu system, which feels like it was designed by a committee that never met.
minor_flaw	any	any	2005	2016	Knock a point off for the load times, which test your patience in the later chapters.
minor_flaw	any	any	2005	2016	The camera occasionally has ideas of its own, though you learn to work with it.
minor_flaw	any	any	2005	2016	A patch has since fixed my main gripe, for what that is worth.
flaw_detail	any	neg	2005	2016	The controls fight you constantly, like the game resents being played.
flaw_detail	any	neg	2005	2016	It crashes. Not occasionally — reliably, in the same chapter, on two different consoles.
flaw_detail	any	neg	2005	2016	The difficulty is not challenge, it is padding. Cheap deaths to stretch six hours of content into twelve.
flaw_detail	any	neg	2005	2016	Half the features on the back of the box are technically present and practically unusable.
flaw_detail	any	neg	2005	2016	The AI is an embarrassment. I watched an enemy walk into a wall for a full minute.
flaw_detail	any	neg	2005	2016	Whatever {publisher} paid the QA team, it was too much.
flaw_detail	any	mixed	2005	2016	For every good idea there is a baffling one right next to it.
flaw_detail	any	mixed	2005	2016	The ambition outruns the execution in a few too many places.
flaw_loud	capslock	any	2005	2011	the camera is BROKEN. actually BROKEN. who shipped this
flaw_loud	capslock	any	2005	2011	40 dollars for SIX HOURS?? are you kidding me
flaw_loud	capslock	any	2012	2016	The camera is still broken, by the way. Some things never change.
flaw_tech	technerd	any	2005	2016	Frame rate drops into the low twenties whenever more than three characters are on screen. I measured it.
flaw_tech	technerd	any	2005	2016	The "HD" textures are upscaled, not native. Compare any signage at 1:1 and it is obvious.
flaw_tech	technerd	any	2005	2016	Input latency is around 130ms on a standard HDMI chain, which is unacceptable for {genre}.
flaw_tech	technerd	any	2005	2016	It does not hold sync on interlaced displays, which matters if you still run a CRT for the older systems.
spec_detail	technerd	any	2005	2016	For reference I am running component out into a calibrated set, so this is not a cabling issue.
spec_detail	technerd	any	2005	2016	Load times: 41 seconds from menu to gameplay on the stock drive, 28 after the drive swap.
spec_detail	technerd	any	2005	2016	The manual claims 60fps. It is 60 in menus. In gameplay it is a locked 30, which is fine, but say so.
spec_detail	technerd	any	2005	2016	Note that the {other_platform} version renders at a lower internal resolution than this one. Details in my profile.	has_other_versions
methodology	technerd	any	2005	2016	Methodology as always: capture card, frame counter, three runs, worst case reported.
methodology	technerd	any	2005	2016	I tested on two consoles and three copies to rule out hardware, before anyone asks.
weigh_up	any	mixed	2005	2016	So where does that leave us? Somewhere frustratingly in the middle.
weigh_up	any	mixed	2005	2016	The good outweighs the bad, but only just, and only if you are patient.
weigh_up	any	mixed	2005	2016	I keep going back and forth on this one, which is itself a kind of verdict.
concession	any	neg	2005	2016	To be fair, the opening act shows real promise before it all goes sideways.
concession	any	neg	2005	2016	I will grant that the art team did their job; everyone else let them down.
comparison	any	any	2005	2016	If you liked the previous one, temper your expectations — this is a different animal.
comparison	any	any	2005	2016	It sits somewhere between the last two entries in quality, closer to the good one.
comparison	any	any	2005	2016	People compare it to the {platform} classics, and for once the comparison is not embarrassing.
verdict_long	essayist	pos	2005	2016	In conclusion: not perfect, but essential. {title} will be remembered when this generation's shelf is cleared.
verdict_long	essayist	pos	2005	2016	In the end I can only judge a game by whether I think about it when I am not playing it. By that measure, five stars.
verdict_mixed	any	mixed	2005	2016	Three stars: worth playing, hard to love. Wait for the price to drop.
verdict_mixed	any	mixed	2005	2016	A rental, in the old language. Try before you commit.
verdict_mixed	any	mixed	2005	2016	Buy it used, keep your receipt, and you will get your money's worth. Probably.
verdict_neg	any	neg	2005	2016	Save your money. There are better ways to spend {price} and most of them are also games.
verdict_neg	any	neg	2005	2016	Traded it back in within the week, which says more than the last four paragraphs.
verdict_neg	any	neg	2005	2016	The box art wrote a cheque the game could not cash.
verdict_loud	capslock	pos	2005	2011	GAME OF THE YEAR. dont even read the other reviews just BUY IT
verdict_loud	capslock	pos	2005	2011	10/10 would lose sleep again
verdict_loud	capslock	pos	2012	2016	Game of the year, and I say that as a grown adult with a mortgage.
verdict_mixed_loud	capslock	mixed	2005	2011	its good but its not THAT good. rent it first trust me
verdict_neg_loud	capslock	neg	2005	2011	do NOT buy this. im serious. worst {price} i ever spent
verdict_neg_loud	capslock	neg	2012	2016	Hard pass. And I'm the guy who defended the last one.
opener_hype	capslock	any	2005	2011	FINALLY.
opener_hype	capslock	any	2005	2011	OK LISTEN UP.
opener_hype	capslock	any	2005	2011	been waiting for this since the magazine preview and IT DELIVERS
opener_hype	capslock	any	2012	2016	Okay, listen. I've been doing this since the dial-up days.
opener_letdown_loud	capslock	neg	2005	2011	i saved up for THREE MONTHS for this
opener_letdown_loud	capslock	neg	2012	2016	I pre-ordered this. I have nobody to blame but myself.
opener_reluctant	grouch	any	2005	2016	Against my better judgement, I bought this at full price.
opener_reluctant	grouch	any	2005	2016	Everyone told me this was the good one. "Everyone" has a lot to answer for.
opener_reluctant	grouch	any	2005	2016	I have complained about this company for years, so believe me when I say I came in ready to hate this.
verdict_grudging	grouch	pos	2005	2016	{stars} stars, and it hurt to type that.
verdict_grudging	grouch	pos	2005	2016	Fine. It is good. Do not make me say it twice.
signoff_grouch	grouch	any	2005	2016	I will be back when they inevitably ruin the sequel.
signoff_grouch	grouch	any	2005	2016	As usual, nobody at head office will read this.
store_gripe	any	neg	2005	2016	Also, the {city} store shelved this under the wrong platform for a month. Sort it out.
store_gripe	any	neg	2005	2016	Sold to me as "{condition_grade}". It was not. That is two grading complaints this year.
store_gripe	any	neg	2013	2016	And before anyone asks — yes, another local store closed while I was writing this.
store_note	any	pos	2005	2013	Shout-out to the {city} store staff, who {staff_detail}.
store_note	any	pos	2005	2013	The staff at my local NGE actually knew the game and talked me out of the worse edition. That still counts for something.	has_other_versions
store_note	any	pos	2005	2016	Delivery from the warehouse was two days flat, credit where due.
opener_parent	parent	any	2005	2016	Bought this for my {kid_word}'s birthday after the usual weeks of hints.
opener_parent	parent	any	2005	2016	Full disclosure: I am the parent here, and my {kid_word} is the actual expert.
opener_parent	parent	any	2005	2016	Every Christmas there is one box that matters most. This year it was {title}.
occasion	parent	any	2005	2016	The {city} store had it wrapped and behind the counter for me, which saved the surprise.
occasion	parent	any	2005	2016	We made the mistake of opening it before dinner. Dinner was late.
occasion	parent	any	2005	2016	It was a good-report-card present, for the record. We have rules.
kid_reaction	parent	pos	2005	2016	I have not seen a reaction like that since the bike with the streamers. Total silence, then screaming.
kid_reaction	parent	pos	2005	2016	My {kid_word} has now explained the plot to me four times. I understand none of it. Five stars.
kid_reaction	parent	pos	2005	2016	Grandma is now genuinely competitive at it, which has caused some issues at Sunday lunch.
kid_reaction	parent	mixed	2005	2016	It was the favourite for about two weeks, and has since joined the pile. Par for the course.
parent_note	parent	any	2005	2016	Note for other parents: the age rating is about right, maybe a shade generous.
parent_note	parent	any	2005	2016	You do NOT need the accessory bundle, whatever the box implies. The basic set is fine.
parent_note	parent	any	2005	2016	The two-player mode is the reason to buy it — it is the first game the whole {family_word} actually shares.
parent_concern	parent	neg	2005	2016	Nothing on the box mentions the online chat, which I would have liked to know about in advance.
parent_concern	parent	neg	2005	2016	It is much harder than the cover suggests; there were tears by Boxing Day.
parent_concern	parent	neg	2005	2016	The "free" extras all cost real money once you are inside the game. In a children's title. Honestly.
verdict_parent	parent	pos	2005	2016	Five stars from the household. The dog abstained.
verdict_parent	parent	pos	2005	2016	Worth every penny of the {price}, and I am the one who counts the pennies.
verdict_neg_parent	parent	neg	2005	2016	Returned it, and the {city} store were decent about it, which salvages one star.
opener_tech	technerd	any	2005	2016	Before the flames start: everything below is measured, not vibes.
opener_tech	technerd	any	2005	2016	Everyone benchmarking the launch build is missing the point, so let me try again with numbers.
opener_tech	technerd	any	2005	2016	Three claims on the back of this box are testable. I tested them.
verdict_tech	technerd	pos	2005	2016	Recommended, with the caveats above. The numbers hold up.
verdict_tech	technerd	pos	2005	2016	Buy the {platform} version specifically. The delta over the {other_platform} port is real and visible.	has_other_versions
verdict_mixed_tech	technerd	mixed	2005	2016	Wait for the revision. The silicon will improve; the launch units will not.
verdict_neg_tech	technerd	neg	2005	2016	Cannot recommend at any price until the patch lands. The data is in my profile if you want to argue.
verdict_short_pos	driveby	pos	2005	2016	good.
verdict_short_pos	driveby	pos	2005	2016	10/10
verdict_short_pos	driveby	pos	2005	2016	buy it
verdict_short_pos	driveby	pos	2005	2016	best one yet
verdict_short_pos	driveby	pos	2005	2016	W
verdict_short_mixed	driveby	mixed	2005	2016	its ok
verdict_short_mixed	driveby	mixed	2005	2016	mid. wait for a sale
verdict_short_mixed	driveby	mixed	2005	2016	fine i guess
verdict_short_neg	driveby	neg	2005	2016	trash
verdict_short_neg	driveby	neg	2005	2016	no.
verdict_short_neg	driveby	neg	2005	2016	refunded
verdict_short_neg	driveby	neg	2005	2016	L
opener_collector	collector	any	2005	2016	Arrived today: {title}, {platform}, listed {condition_grade}. Grading notes below, as always.
opener_collector	collector	any	2005	2016	This fills the last gap in my {platform} shelf, so I was prepared to forgive a lot.
opener_collector	collector	any	2005	2016	Ordered sight-unseen from the {city} store's used stock, which is always a small act of faith.
condition_note	collector	any	2005	2016	Cart pins clean, label square with minor sun-fade, battery holding a save from 1998 — which I left in place, obviously.	media_cartridge
condition_note	collector	any	2005	2016	Disc resurfaced but honest about it, manual complete, case original. That is a fair "{condition_grade}".	media_disc
condition_note	collector	any	2005	2016	Complete in box with both inserts, which is rarer than the game itself at this point.
grading_gripe	collector	neg	2005	2016	"{condition_grade}" used to mean tested, complete, minor wear. What arrived fails all three. The chart means something or it means nothing.
grading_gripe	collector	neg	2005	2016	Three years ago the {city} store would have priced this two grades lower. Somebody in purchasing knows this.
grading_gripe	collector	neg	2005	2016	Coffee ring on the manual. A COFFEE RING. Grade honestly or do not grade at all.
verdict_collector	collector	pos	2005	2016	Shelf-worthy. The hunt continues.
verdict_collector	collector	pos	2005	2016	Five stars for the item, and a nod to whoever at the warehouse packed it properly.
verdict_neg_collector	collector	neg	2005	2016	Returned. One star back when the grading chart means something again.
opener_fan	superfan	any	2005	2016	Been with this series since the first one, so you know where this is going.
opener_fan	superfan	any	2005	2016	THE WAIT IS OVER.
opener_fan	superfan	any	2005	2016	I took the day off for this release. Zero shame.
