country_code	city_name	street_name	osm_count
GB	London	Old Kent Road	107
GB	London	Marylebone Road	96
GB	London	Regent Street	86
GB	London	Lower Road	85
GB	London	Westminster Bridge Road	85
GB	London	Edgware Road	76
GB	London	Jamaica Road	74
GB	London	Euston Road	72
GB	London	Southwark Bridge Road	68
GB	London	Lewisham High Street	64
GB	London	Queen Victoria Street	64
GB	London	Goldhawk Road	56
GB	London	New Cross Road	55
GB	London	Tooley Street	53
GB	London	Chiswick High Road	52
GB	London	Outer Circle	51
GB	London	Oxford Street	49
GB	London	King Street	49
GB	London	Waterloo Road	48
GB	London	Hampstead Road	47
GB	London	Shaftesbury Avenue	46
GB	London	Gower Street	45
GB	London	Park Road	44
GB	London	Creek Road	44
GB	London	Gloucester Place	43
GB	London	Tottenham Court Road	41
GB	London	Borough High Street	40
GB	London	High Holborn	40
GB	London	Trafalgar Road	40
GB	London	Tower Bridge Road	40
GB	London	Portland Place	39
GB	London	Strand	38
GB	London	Fleet Street	38
GB	London	Prestons Road	37
GB	London	Plough Lane	37
GB	London	Cannon Street	34
GB	London	Castelnau	34
GB	London	Blackwall Lane	34
GB	London	York Road	34
GB	London	Elephant and Castle	34
GB	London	Victoria Embankment	34
GB	London	Stanstead Road	33
GB	London	Baker Street	33
GB	London	Lewisham Way	33
GB	London	New Kent Road	33
GB	London	Southwark Street	32
GB	London	Putney Hill	31
GB	London	Upper Richmond Road	31
GB	London	Trafalgar Way	31
GB	London	Harrow Road	31
GB	London	Borough Road	31
GB	London	Whitehall	31
GB	London	George Street	31
GB	London	Blackfriars Road	30
GB	London	Upper Thames Street	30
GB	London	Deptford Church Street	30
GB	London	Southwark Park Road	30
GB	London	King William Street	29
GB	London	Southampton Row	29
GB	London	Lambeth Palace Road	29
GB	London	Trafalgar Square	28
GB	London	Torrington Place	28
GB	London	Park Street	28
GB	London	Holborn Viaduct	28
GB	London	Evelyn Street	28
GB	London	Rotherhithe New Road	28
GB	London	St James's Road	28
GB	London	Newington Causeway	28
GB	London	Great Portland Street	27
GB	London	Carlton Vale	27
GB	London	Piccadilly	27
GB	London	Kingsway	26
GB	London	New Oxford Street	26
GB	London	The Mall	26
GB	London	Gray's Inn Road	26
GB	London	Hamilton Terrace	26
GB	London	Cleveland Street	25
GB	London	Sutherland Avenue	25
GB	London	Kennington Road	25
GB	London	Brockley Road	25
GB	London	Tabard Street	25
GB	London	Abbey Street	25
GB	London	Seymour Place	25
GB	London	St Paul's Churchyard	24
GB	London	Garratt Lane	24
GB	London	Charing Cross Road	24
GB	London	St. Katharine's Way	24
GB	London	Burntwood Lane	24
GB	London	St George's Road	24
GB	London	Dunton Road	24
GB	London	St John's Wood Road	24
GB	London	Maida Vale	24
GB	London	Molesworth Street	23
GB	London	New Cavendish Street	23
GB	London	Deptford Bridge	23
GB	London	Whitfield Street	22
GB	London	Webber Street	22
GB	London	Bermondsey Street	22
GB	London	Loampit Vale	22
GB	London	Farringdon Street	22
GB	Birmingham	Coventry Road	140
GB	Birmingham	Stratford Road	116
GB	Birmingham	Bristol Road	102
GB	Birmingham	High Street	98
GB	Birmingham	Chester Road	98
GB	Birmingham	Warwick Road	95
GB	Birmingham	Church Road	91
GB	Birmingham	Tyburn Road	69
GB	Birmingham	Pershore Road	64
GB	Birmingham	Bromford Lane	62
GB	Birmingham	Walsall Road	58
