hardware_id	model_name	platform	kind	manufacturer	model_number	release_na	release_jp	release_eu	launch_usd	revision_of	source_url	notes
1	PlayStation	PlayStation	console	Sony	SCPH-1001	1995-09-09	1994-12-03	1995-09-29	299	-	https://en.wikipedia.org/wiki/PlayStation_models	Original "PS1"; NA launch model
2	PSone	PlayStation	console	Sony	SCPH-101	2000-09-19	2000-07-07	2000-09-29	99	1	https://en.wikipedia.org/wiki/PlayStation_models	Slimline late-life redesign
3	PlayStation 2	PlayStation 2	console	Sony	SCPH-30001	2000-10-26	2000-03-04	2000-11-24	299	-	https://en.wikipedia.org/wiki/PlayStation_2_models	Original "fat"
4	PlayStation 2 Slim	PlayStation 2	console	Sony	SCPH-70000	2004-11-01	2004-11-03	2004-11-19	149	3	https://en.wikipedia.org/wiki/PlayStation_2_models	Slim redesign
5	PlayStation 3 (60GB)	PlayStation 3	console	Sony	CECHA01	2006-11-17	2006-11-11	2007-03-23	599	-	https://en.wikipedia.org/wiki/PlayStation_3_models	Launch 60GB; 20GB variant was $499
6	PlayStation 3 Slim	PlayStation 3	console	Sony	CECH-2000	2009-09-01	2009-09-03	2009-09-01	299	5	https://en.wikipedia.org/wiki/PlayStation_3_models	120GB slim
7	PlayStation 3 Super Slim	PlayStation 3	console	Sony	CECH-4000	2012-09-25	2012-10-04	2012-09-28	269	5	https://en.wikipedia.org/wiki/PlayStation_3_models	Second redesign
8	PlayStation 4	PlayStation 4	console	Sony	CUH-1000	2013-11-15	2014-02-22	2013-11-29	399	-	https://en.wikipedia.org/wiki/PlayStation_4	Original
9	PlayStation 4 Slim	PlayStation 4	console	Sony	CUH-2000	2016-09-15	2016-09-15	2016-09-15	299	8	https://en.wikipedia.org/wiki/PlayStation_4	Slim redesign
10	PlayStation 4 Pro	PlayStation 4	console	Sony	CUH-7000	2016-11-10	2016-11-10	2016-11-10	399	8	https://en.wikipedia.org/wiki/PlayStation_4	4K/HDR mid-gen
11	PlayStation Portable (PSP-1000)	PlayStation Portable	handheld	Sony	PSP-1000	2005-03-24	2004-12-12	2005-09-01	249	-	https://en.wikipedia.org/wiki/PlayStation_Portable	Original
12	PSP Slim & Lite (PSP-2000)	PlayStation Portable	handheld	Sony	PSP-2000	2007-09-05	2007-09-20	2007-09-05	169	11	https://en.wikipedia.org/wiki/PlayStation_Portable	Slimmer revision
13	PSP-3000	PlayStation Portable	handheld	Sony	PSP-3000	2008-10-14	2008-10-16	2008-10-15	169	11	https://en.wikipedia.org/wiki/PlayStation_Portable	Improved screen
14	PSP Go	PlayStation Portable	handheld	Sony	PSP-N1000	2009-10-01	2009-11-01	2009-10-01	249	11	https://en.wikipedia.org/wiki/PlayStation_Portable	Digital-only, sliding form
15	PlayStation Vita (OLED)	PlayStation Vita	handheld	Sony	PCH-1000	2012-02-22	2011-12-17	2012-02-22	249	-	https://en.wikipedia.org/wiki/PlayStation_Vita	Wi-Fi $249 / 3G $299
16	PlayStation Vita Slim	PlayStation Vita	handheld	Sony	PCH-2000	2014-05-06	2013-10-10	2014-02-07	199	15	https://en.wikipedia.org/wiki/PlayStation_Vita	LCD redesign
17	Game Boy	Game Boy	handheld	Nintendo	DMG-01	1989-07-31	1989-04-21	1990-09-28	90	-	https://en.wikipedia.org/wiki/Game_Boy	Original
18	Game Boy Pocket	Game Boy	handheld	Nintendo	MGB-001	1996-09-02	1996-07-21	1997-01-01	70	17	https://en.wikipedia.org/wiki/Game_Boy	Smaller redesign
