# NGE V1.26 — Japanese review phrases (design §4b, lighter non-English bank).
# Authored, not machine-translated. archetype=any, sentiment=any (slot carries sentiment).
slot	archetype	sentiment	era_from	era_to	text
opener_pos	any	any	2005	2016	ついにプレイしたけど、最高だった。
opener_pos	any	any	2005	2016	長く待った甲斐があった。
opener_pos	any	any	2005	2016	なんという作品。
opener_pos	any	any	2005	2016	いい意味で裏切られた。
opener_neg	any	any	2005	2016	本当に好きになりたかった。
opener_neg	any	any	2005	2016	お金の無駄だった。
opener_neg	any	any	2005	2016	がっかりだ。
opener_neg	any	any	2005	2016	どこから話せばいいか。
opener_mixed	any	any	2005	2016	評価が難しい作品。
opener_mixed	any	any	2005	2016	着眼点は良いが、詰めが甘い。
opener_mixed	any	any	2005	2016	まあまあ、それ以上でもない。
experience	any	any	2005	2016	最初の数時間は退屈だが、そこから面白くなる。
experience	any	any	2005	2016	週末が丸ごと消えた。
experience	any	any	2005	2016	二周した。その価値はあった。
praise	any	any	2005	2016	音楽が素晴らしい。
praise	any	any	2005	2016	{platform}では映像が一番きれい。
praise	any	any	2005	2016	操作性は完璧。
praise	any	any	2005	2016	細部まで丁寧に作り込まれている。
flaw	any	any	2005	2016	ロードが長すぎて耐えられない。
flaw	any	any	2005	2016	発売時点でバグが多すぎる。
flaw	any	any	2005	2016	カメラが言うことを聞かない。
flaw	any	any	2005	2016	この値段にしては短すぎる。
verdict_pos	any	any	2005	2016	文句なしの購入推奨。星五つ。
verdict_pos	any	any	2005	2016	{platform}ユーザーなら必携。
verdict_pos	any	any	2005	2016	自分としては満点。
verdict_neg	any	any	2005	2016	やめておけ、金の無駄だ。
verdict_neg	any	any	2005	2016	セールなら一応検討の余地あり。
verdict_neg	any	any	2005	2016	星一つ、それもおまけだ。
verdict_mixed	any	any	2005	2016	セールならあり、そうでなければなし。
verdict_mixed	any	any	2005	2016	星三つ、それが限界。
verdict_mixed	any	any	2005	2016	値下がりを待つべき。
short_pos	any	any	2005	2016	最高。
short_pos	any	any	2005	2016	買い。
short_pos	any	any	2005	2016	とても良い。
short_pos	any	any	2005	2016	大満足。
short_neg	any	any	2005	2016	残念。
short_neg	any	any	2005	2016	買うな。
short_neg	any	any	2005	2016	惜しい。
short_neg	any	any	2005	2016	なし。
short_mixed	any	any	2005	2016	まあまあ。
short_mixed	any	any	2005	2016	普通。
short_mixed	any	any	2005	2016	遊べなくはない。
short_mixed	any	any	2005	2016	特筆すべき点はない。
