country_code	street_name	num_cities
AU	Victoria Street	20
AU	William Street	16
AU	High Street	15
AU	George Street	15
AU	Elizabeth Street	13
AU	Church Street	12
AU	Park Street	10
AU	Arthur Street	10
AU	Albert Street	10
AU	Station Street	9
AU	Charles Street	9
AU	Main Street	8
AU	King Street	8
AU	Flinders Street	8
AU	Fitzroy Street	8
AU	Bridge Street	8
AU	York Street	7
AU	Wellington Street	7
AU	Smith Street	7
AU	Russell Street	7
AU	Racecourse Road	7
AU	Queen Street	7
AU	Mary Street	7
AU	Hill Street	7
AU	Gordon Street	7
AU	Bourke Street	7
AU	Boundary Road	7
AU	Young Street	6
AU	Stanley Street	6
AU	Princes Highway	6
BR	Rua A	21
BR	Rua B	19
BR	Rua 1	16
BR	Rua D	15
BR	Rua C	15
BR	Avenida Brasil	15
BR	Rua 4	14
BR	Rua 3	14
BR	Rua 2	14
BR	Rua da Paz	13
BR	Rua E	13
BR	Rua Um	12
BR	Rua São José	12
BR	Rua Santo Antônio	12
BR	Rua Dois	12
BR	Rua 5	12
BR	Rua São João	11
BR	Rua Cinco	11
BR	Avenida Presidente Kennedy	11
BR	Avenida Getúlio Vargas	11
BR	Rua São Paulo	10
BR	Rua Santa Luzia	10
BR	Rua Quatro	10
BR	Rua F	10
BR	Rua 6	10
BR	Rodovia Governador Mário Covas	10
BR	Avenida Santos Dumont	10
BR	Avenida Presidente Castelo Branco	10
BR	Avenida Duque de Caxias	10
BR	Rua Três	9
CA	Dundas Street East	7
CA	Queen Elizabeth Way	6
CA	Main Street	6
CA	Highway 407	6
CA	Dundas Street West	6
CA	North Service Road	5
CA	King Street	5
CA	Boulevard Pie-IX	5
CA	Albert Street	5
CA	Yonge Street	4
CA	Woodbine Avenue	4
CA	Victoria Avenue	4
CA	Trans-Canada Highway	4
CA	Rue Saint-Louis	4
CA	Rue Saint-Hubert	4
CA	Rue Saint-Denis	4
CA	Rue Montcalm	4
CA	Riverside Drive	4
CA	River Road	4
CA	Ring Road	4
CA	Queen Street	4
CA	Oxford Street	4
CA	Ontario Street	4
CA	Mary Street	4
CA	King Street West	4
CA	King Street East	4
CA	Kennedy Road	4
CA	Highway 7	4
CA	Highway 403	4
CA	Highway 401	4
CH	Bahnhofstrasse	26
CH	Dorfstrasse	22
CH	Schulstrasse	17
CH	Industriestrasse	17
CH	Haldenstrasse	16
CH	Zürcherstrasse	14
CH	Poststrasse	14
CH	Hauptstrasse	14
CH	Bergstrasse	14
CH	Stationsstrasse	12
CH	Schulhausstrasse	11
CH	Allmendstrasse	11
CH	Seestrasse	10
CH	Oberdorfstrasse	10
CH	Bahnhofplatz	10
CH	Weststrasse	9
CH	Schützenstrasse	9
CH	Rütistrasse	9
CH	Rainstrasse	9
CH	Gartenstrasse	9
CH	Feldstrasse	9
CH	Bachstrasse	9
CH	Zürichstrasse	8
CH	Winterthurerstrasse	8
CH	Kirchstrasse	8
CH	Kirchgasse	8
CH	Weinbergstrasse	7
CH	Weidstrasse	7
CH	Talstrasse	7
CH	Sonnenbergstrasse	7
CZ	Okružní	24
CZ	Nádražní	23
CZ	Pražská	22
CZ	Žižkova	16
CZ	Zahradní	16
CZ	Tyršova	16
CZ	Husova	16
CZ	Polní	15
CZ	Palackého	15
CZ	Dlouhá	15
CZ	Sadová	14
CZ	Lidická	14
CZ	Komenského	14
CZ	17. listopadu	14
CZ	Luční	13
CZ	Družstevní	13
CZ	5. května	13
CZ	Sokolská	12
CZ	Průmyslová	12
CZ	Lesní	11
CZ	Hlavní	11
CZ	Vrchlického	10
CZ	Sportovní	10
CZ	Horní	10
CZ	Havlíčkova	10
CZ	Dukelská	10
CZ	Bezručova	10
CZ	Školní	9
CZ	Smetanova	9
CZ	Ruská	9
DE	Hauptstraße	26
DE	Bahnhofstraße	25
DE	Berliner Straße	19
DE	Friedrich-Ebert-Straße	18
DE	Bismarckstraße	14
DE	Waldstraße	11
DE	Kaiserstraße	11
DE	Hafenstraße	11
DE	Gartenstraße	11
DE	Südring	10
DE	Leipziger Straße	10
DE	Königstraße	10
DE	Friedrichstraße	10
DE	Wilhelmstraße	9
DE	Hansastraße	9
DE	Rheinstraße	8
DE	Hans-Böckler-Straße	8
DE	Dorfstraße	8
DE	Breslauer Straße	8
DE	Universitätsstraße	7
DE	Schulstraße	7
DE	Ringstraße	7
DE	Kurt-Schumacher-Straße	7
DE	Industriestraße	7
DE	Hamburger Straße	7
DE	Frankfurter Straße	7
DE	Bergstraße	7
DE	Zeppelinstraße	6
DE	Theodor-Heuss-Straße	6
DE	Schützenstraße	6
DK	Strandvejen	10
DK	Vestergade	9
DK	Roskildevej	9
DK	Østergade	8
DK	Viborgvej	8
DK	Jernbanegade	8
DK	Vesterbrogade	7
DK	Nørrebrogade	7
DK	Nordre Ringvej	7
DK	Frejasvej	7
DK	Bygaden	7
DK	Søndre Ringvej	6
DK	Parkvej	6
DK	Motorring 3	6
DK	Holbækmotorvejen	6
DK	Havnegade	6
DK	Godthåbsvej	6
DK	Frederiksborgvej	6
DK	Østre Ringvej	5
DK	Østerbrogade	5
DK	Århusvej	5
DK	Vestre Ringvej	5
DK	Vejlevej	5
DK	Strandgade	5
DK	Skovvej	5
DK	Skolegade	5
DK	Sjællandsgade	5
DK	Silkeborgvej	5
DK	Nørregade	5
DK	Kystvejen	5
ES	Avenida de Europa	11
ES	Avenida de Pablo Iglesias	7
ES	Avenida de Madrid	7
ES	Calle Real	6
ES	Calle Mayor	6
ES	Carrer de València	5
ES	Carrer d'Aragó	5
ES	Calle Juan Ramón Jiménez	5
ES	Avenida de la Libertad	5
ES	Avenida de América	5
ES	Autovía del Sur	5
ES	Ronda de Dalt	4
ES	Ronda Sur	4
ES	Ronda Litoral	4
ES	Plaça d'Espanya	4
ES	Carrer del Rosselló	4
ES	Carrer de Mallorca	4
ES	Carrer de Balmes	4
ES	Carrer Major	4
ES	Calle Severo Ochoa	4
ES	Calle Madrid	4
ES	Calle 30	4
ES	Avinguda de la Generalitat	4
ES	Avinguda Diagonal	4
ES	Avenida del Mediterráneo	4
ES	Avenida de la Paz	4
ES	Avenida de la Industria	4
ES	Avenida de la Constitución	4
ES	Avenida de España	4
ES	Avenida de Andalucía	4
FR	Avenue Jean Jaurès	23
FR	Avenue du Général de Gaulle	20
FR	Rue de la République	18
FR	Avenue de la République	18
FR	Rue Pasteur	17
FR	Rue Victor Hugo	16
FR	Rue Jean Jaurès	16
FR	Avenue de l'Europe	16
FR	Avenue du Général Leclerc	14
FR	Rue de Verdun	13
FR	Avenue de Verdun	13
FR	Rue de Paris	12
FR	Rue Anatole France	12
FR	Rue Émile Zola	11
FR	Rue du Général de Gaulle	10
FR	Boulevard Périphérique Intérieur	10
FR	Boulevard Périphérique Extérieur	10
FR	Boulevard Charles de Gaulle	10
FR	Avenue du Maréchal de Lattre de Tassigny	10
FR	Avenue Victor Hugo	10
FR	Avenue Georges Clemenceau	10
FR	Rue de la Gare	9
FR	Rue Gabriel Péri	9
FR	Avenue Henri Barbusse	9
FR	Rue du Général Leclerc	8
FR	Rue du 8 Mai 1945	8
FR	Rue Jules Ferry	8
